population,h3
3068.582275390625,881f1d4c23fffff
340.85418701171875,881f188651fffff
2613.52783203125,881f1d4851fffff
2980.407958984375,881f18b249fffff
2453.03564453125,881f18b261fffff
1275.5377197265625,881f18b469fffff
2533.35009765625,881f1d4185fffff
2533.35009765625,881f1d41abfffff
306.1105651855469,881f18b503fffff
1845.32080078125,881f1d4b5bfffff
323.462890625,881f18861dfffff
429.0240173339844,881f18863bfffff
2860.613037109375,881f18b74bfffff
422.0116882324219,881f18b623fffff
575.8649291992188,881f1886d1fffff
2849.239501953125,881f18b0e3fffff
2849.239501953125,881f18b0a9fffff
15.292326927185059,881f188637fffff
323.7855529785156,881f188653fffff
323.7855529785156,881f188619fffff
293.7879638671875,881f1d492bfffff
351.251708984375,881f18b451fffff
452.8065490722656,881f18865dfffff
321.9806213378906,881f1d4967fffff
3067.066162109375,881f18b0c1fffff
1271.2105712890625,881f18845bfffff
1284.452880859375,881f188469fffff
985.6392822265625,881f1d589bfffff
3115.3251953125,881f1d4d13fffff
2964.02001953125,881f1d4dd9fffff
2477.242431640625,881f1886b9fffff
2968.209716796875,881f1d4aedfffff
2968.209716796875,881f1d4ae5fffff
1597.7298583984375,881f1d481bfffff
2907.51904296875,881f18b205fffff
3045.344482421875,881f1d49d9fffff
551.045166015625,881f18860bfffff
3039.754150390625,881f1d41adfffff
351.80877685546875,881f188657fffff
1566.174072265625,881f18b50dfffff
3029.19921875,881f1d4c05fffff
887.7230224609375,881f18b0b3fffff
2466.345458984375,881f1d4807fffff
2280.9248046875,881f1d4b3dfffff
2280.9248046875,881f1d4b35fffff
3053.013671875,881f18b36bfffff
1743.0615234375,881f1d49e1fffff
1743.0615234375,881f1d49e7fffff
1064.7427978515625,881f18b4e9fffff
1097.8643798828125,881f188445fffff
104.81336975097656,881f18a29dfffff
2743.54443359375,881f18b735fffff
3159.419189453125,881f18b34bfffff
2915.585205078125,881f18b31dfffff
2447.813232421875,881f1d4f37fffff
292.50238037109375,881f1d4a01fffff
2564.40673828125,881f1d4f31fffff
115.30535888671875,881f1d5985fffff
277.59063720703125,881f18b5c3fffff
1049.552734375,881f1884d7fffff
409.995361328125,881f1886cbfffff
2383.843017578125,881f1d413dfffff
2839.051513671875,881f1d4b11fffff
3187.277587890625,881f18b063fffff
144.72129821777344,881f188603fffff
3027.7158203125,881f1d41a7fffff
1895.8441162109375,881f1d4b6dfffff
301.8826904296875,881f1d59a3fffff
419.9272155761719,881f18b403fffff
3100.114990234375,881f1d4d63fffff
454.9725341796875,881f1d4901fffff
2901.954345703125,881f1d4f03fffff
2285.595947265625,881f1d49a7fffff
2775.234375,881f18b0d7fffff
1502.1644287109375,881f1d4e37fffff
267.0192565917969,881f18b433fffff
696.108642578125,881f18b445fffff
2979.867431640625,881f1d4f15fffff
2981.8671875,881f1d4dcdfffff
3137.396484375,881f1d49ddfffff
2680.775634765625,881f1d4c4bfffff
2800.049072265625,881f1d48edfffff
1128.1785888671875,881f1d58b5fffff
2654.311279296875,881f1884d1fffff
2714.540771484375,881f18b2c9fffff
2026.24853515625,881f1d4ddbfffff
300.4483642578125,881f18b465fffff
2605.929443359375,881f1d48e3fffff
2961.428466796875,881f1d4b57fffff
2961.428466796875,881f1d4b51fffff
2405.361328125,881f18b713fffff
2405.361328125,881f18b71bfffff
1954.622802734375,881f1896b7fffff
3165.514892578125,881f1d4f21fffff
2277.38916015625,881f1d41e5fffff
3019.339111328125,881f18b221fffff
2945.95458984375,881f18b23bfffff
2754.23828125,881f1d49ebfffff
